Heading,Publisher,Date,Body
"WHEN IN SHAME, BLAME 'ANONYMOUS' ", By FROM DEBASHIS BHATTACHARYYA in Mumbai  ,  4/10/2001 ,
Anonymous letter leaves Vyas cold, By OUR SPECIAL CORRESPONDENT in Delhi  ,  27/12/2005 ,"New Delhi, Dec. 27: Reacting to the Sanjay Joshi sex scandal, National Commission for Women chairperson Girija Vyas has said her organisation cannot take action on the basis of an anonymous letter supposedly sent by a woman levelling sexual exploitation charges against the BJP leader.“I have not received the letter but have heard about it through media reports,” Vyas said. The letter is signed “peedit kanya” (traumatised girl) and carries no postal address.Written in Hindi, it was sent to journalists and political bigwigs in the BJP. “I am a humiliated, exploited woman who is begging you for help,” the anonymous author pleads. “A leader, well-known in politics, has destroyed me and sexually exploited me. This leader takes pride in his status of a celibate bachelor. This ‘brahmachari neta’ (celibate leader) is a debauch. “He is educated and wallows in luxury. He has sexually abused me. I am sending with the letter evidence of his crime. The condom I am sending will give you proof of the crime committed. This is the condom he has used to sexually exploit me,” the author adds.“The name of this celibate brahmachari is Sanjay Joshi, general secretary, BJP, 11 Ashoka Road, New Delhi 1. He is a rapist masquerading as a brahmachari. He should be hanged. I would like you to do a DNA test of the condom. This will expose the crime,” the letter says. “If I commit suicide I will not be able to send this evidence and punish the criminal.” “I am a woman and still have the rest of my life before me. I am scared of being stigmatised. Please help me. Hang this pretentious brahmachari of the BJP and save other women from him,” the author says.The supposed victim also reposes full faith in Vyas. “I have absolute confidence in your courage and your sense of justice,” the letter says.But Vyas’s hands are tied. “We do take up such cases of exploitation. But how can we take action when the letter has no name or address. We would have investigated the matter even if the author had contacted us on the phone or a third party had approached us on her behalf,” Vyas said. “It often happens that the person is scared to write. Then she can talk to us on the phone. But we must have something to proceed on.”"
- note to alcoholics, By The Telegraph Online ,  1/07/2011 ,
App-cab Anonymous, By Kinsuk Basu ,  2/09/2016 ,"The state transport authority suspects that app-cab aggregator Ola hasn't been running a background check on drivers before allowing them on its online platform.""We do not have the antecedents of the accused (Ola driver Guddu Singh) in the rape and murder of a 12-year-old girl on Wednesday. We suspect the company does not probe a driver's background,"" a senior transport department official told Metro on Thursday.Ola received a temporary licence to operate in Bengal as an app cab company in June. ""Since then, the information that Ola has been sharing with the transport department about the cars and drivers on its platform hasn't usually included the antecedents of the drivers,"" the official said.The state transport authority has written to Ola seeking ""details"" of the drivers who kidnapped the 12-year-old girl from a Brabourne Road pavement, raped and killer her in the app-cab and then dumped the body in a canal in Tiljala.Ola has a week to respond.Guddu, the driver of the Tata Indigo registered with Ola, had been out on bail since being arrested in October 2013 for allegedly robbing a woman at gunpoint. A background check on Guddu would have revealed that he has a pending criminal case against his name, disqualifying him from driving an app cab.His alleged accomplice Shankar Shaw is a private driver having no known association with Ola, although the transport authority has sought information from the company about him as well. The letter to Ola, dated August 31, seeks to know ""detailed steps"" taken by the company ""towards verification of the drivers antecedents as required in the guidelines"".The guidelines in question were notified in December 2015 and must be followed to operate in Bengal as an app-cab company or aggregator. One of the prerequisites is that app-cab operators would verify the antecedents of each driver ""through any registered/accredited security agency"".Ola refuted the charge that it does not run a background check on drivers. ""An agency verifies the antecedents of drivers on our behalf. The agency had cleared the said driver (Guddu),"" an Ola official said on Thursday.To verify criminal records, an agency needs to approach the local police station, which would forward the file to Lalbazar, the city police headquarters.Officers across police stations said they hadn't received any query from any agency seeking to verify the antecedents of app-cab drivers. Lalbazar too said no such file had been forwarded.Metro spoke to several drivers on the Ola platform on Thursday and the majority of them said they had neither been asked any question about their background nor about pending court cases while enrolling for app-cab duty.""I was asked to turn up with my driving licence and all documents relating to the vehicle for an interview in a mall near the Park Circus seven-point crossing,"" said a driver, residing at New CIT Road. ""I was also asked to submit my PAN card. But no questions were asked about my background,"" said the 40-year-old from Sasaram, Bihar.DRIVER DUO IN DANGER LANE Guddu Singh, 22Shankar Shaw, 20 "
Tax worry, By The Telegraph Online ,  18/02/2008 ,"While dividend income on mutual fund units in the hands of unit holders is tax-free (dividend distribution tax is paid by the fund house), profits on redemption or surrender of units are taxable in some cases depending on whether the scheme invests at least 65 per cent of its corpus in domestic equities and when you are redeeming the units.If a mutual fund scheme invests at least 65 per cent of its corpus in domestic equities, selling those units after 12 months of its purchase attracts no capital gains tax. Non-equity schemes attracts capital gains tax irrespective of whether you hold them for less or more than 12 months. Selling units of equity-related schemes within 12 months of their purchase attracts short-term capital gains tax at the rate of 10 per cent. "
Curing an obsession with drinks - CIP has a special cell to treat alcoholics, By The Telegraph Online ,  19/01/2005 ,"It all started with a harmless drink for Rahul. After all it was his best friend?s wedding and though a teetotaller, he could make an exception for this one occasion, reasoned the young professional. The wedding over, it was back to work for him. But now he no longer flinched at the invitation to join his colleagues for a drink after office hours.He felt a lot more relaxed and carefreeafter consuming alcohol and his colleagues were also pleasantly surprised with the new Rahul. His wife, Rimi, was not too happy, but every time she complained, Rahul would whine, ?It?s just three pegs of rum darling and that too once a week?. Unfortunately, the two pegs increased to three and then to four and soon, he himself lost count of the alcohol he was consuming. From an occasional drink over the week-end, it soon became a daily habit. He spent less and less time at home and his wife complained even more vociferously at his irresponsible behaviour. He found her unreasonable and she thought he was intolerable. They screamed and quarelled till his wife walked out of the messy marriage. Rahul started drinking even more.His parents finally persuaded him to consult a doctor who advised treatment for alcoholism. But Rahul refused to accept that he was an alcoholic. Rahul?s parents consulted a psychiatrist, who said that it has been seen that an alcoholic never likes to admit that he has become a slave to alcohol. ?If one comes to terms with the hard fact then the battle is half won,? said the doctor to Rahul?s parents. Rahul?s is no isolated case. There are thousands like him who suffer from alcoholism, which means that one has no control over his urge to consume alcohol and one who does not know when to stop. Alcoholics therefore can beg, borrow and steal, or kill in some cases, to pay for their drink. The obsession gets so overwhelming that it affects the nervous system as well as general health.A man?s ability to consume alcohol and still remain in his senses , doctors point out, is no indication that he is not an alcoholic. Indeed some people get drunk after consuming two pegs of a drink while others behave normally even after consuming five pegs. But the thumb rule is that a regular intake of three or more pegs is described as alcoholism.Alcohol itself , if taken in small doses and sparingly, can be therapeutic, points out Dr Arya Pranay Chaitanya of the Rajendra Institute of Medical Sciences ( RIMS). According to doctors, to understand alcoholism one needs to understand certain related terms such as tolerance, withdrawal, abuse, dependence and intoxication. ?Alcohol tolerance implies that with repeated consumption of alcohol, larger and larger amounts of the intoxicant is required to get the desired effect. If earlier a person used to feel satisfied with two pegs, the requirement will increase to three or four pegs,? says Debrath Kumar, a psychologist with the Central Institute of Psychiatry (CIP) Ranchi. Interestingly, an alcoholic can develop behavioural tolerance which allows him to continue with his job effectively. Somewhat different from the concept of alcohol dependence is the concept of alcohol abuse in which a person impairs his social, inter-personal and occupational functioning. Alcohol dependence is a condition in which a person enters into a state of delirium if he cannot consume alcohol when his body craves for the intoxicant. ?The human body gets attuned to alcohol after regular period of use. The body then starts reacting if the person does not consume alcohol,? said P. K. Choudhary, a psychiatrist with the Davis Institute of Neuro Psychiatry.Addiction to alcohol can cause damage to neurons in certain areas of brain. It can give rise to cardio-vascular, gastro-intestinal problems, and at times even causes cancer (mostly of the liver). Similarly the psychological effect of alcohol is also damaging. It can lead to irritation, depression and in certain cases can cause severe psychiatric disorders. Since alcoholics at times become unsocial, severe psychiatric disorders arise when their loved ones begin to ignore them. Another problem is that they neglect their diet. ?Vitamin B1 deficiency is observed in most alcoholics. This leads to memory loss and in severe cases it causes delirium,? says Arya.Doctors prescribe sedatives in chronic alcohol addiction cases. ?Various psychological therapies as well as pharmacological agents are used to help people overcome this problem. The Central Institute of Psychiatry (CIP) in Ranchi has a separate unit to treat people with this problem. We concentrate on everything from a person?s psychological behaviour to his diet during the programme,? says Debrath.During alcohol withdrawal reactions, the human body witnesses metabolical changes. The patient may experience convulsions, cramps and he/she may also faint during the treatment period. Signs of improvement can be observed in 15 to 45 days of treatment. ?An intense supportive therapy is required during these stages. People may require longer periods of treatment in severe cases of alcohol addiction. Whatever be the case it is curable if the patient has the will to give it up,? says Chowdhary.S. Shekhar"
Fine Print 20-06-2006, By The Telegraph Online ,  20/06/2006 ,"Anonymous Depp New York, June 19 (AP): Johnny Depp says the media’s perception of him as a European wannabe has been exaggerated, and that he just likes the anonymity of living in France. this week’s issue of Newsweek, the 43-year-old actor says life is simpler there. “I’ve always loved it there,” he said. “The phones don’t ring as much. Movies are never brought up in conversation. I’ll take the kids and we’ll go out to the trampoline and the swing set, and we’ll stop by the garden and see how our tomatoes are doing. You know, old-fart stuff. Good stuff.” It’s a sharp contrast to his early acting days when he became a teen idol starring on the TV series 21 Jump Street. “Suddenly, you go into restaurants and people are pointing at you and whispering, he said. “You feel spooked by it because that freedom of anonymity is gone. You never get used to that. ”Depp, French actress-singer Vanessa Paradis and their two children split their time between homes in France and Los Angeles. Bracing for baby boom Sydney (Reuters): Australian hospitals are bracing for a baby boom in July as expectant mothers try to delay imminent births to take advantage of a new welfare payment, researchers said on Monday. From July 1, a baby bonus paid to the parents for every new-born child will increase by A$1,000 ($740) to A$4,000. Economists said that after the baby bonus was introduced in July 2004 about 700 births were delayed by a week to take advantage of the new payment."
"At NMCH, yoga to kick the bottle", By Shuchismita Chakraborty ,  16/04/2016 ,"The state government has roped in the services of a yoga expert at the Nalanda Medical College and Hospital (NMCH) de-addiction centre to help alcoholics deal with withdrawal symptoms.Alcoholics at the centre are being put through a one-and-a- half-hour long yoga session every morning by Varun Kumar Yogi (33), who earlier worked at a yoga centre in Muzaffarpur. Varun has rendered his services at the de-addiction centre for three days now and patients said they were benefiting from the process.Varun said he was teaching asanas to both the patients and their attendants.""It is not mandatory for attendants to join the session but we are encouraging them to join as well because their help will be important when the patients are released from rehab and maintain routine yoga at home,"" he said. ""As of now, I am teaching three asanas - anulom-vilom, kapalbhati and bhramari - which are mainly breathing exercises. I am not making them do asanas which reduce fat or need heavy physical exercise.""Yogi said the patients were initially unable to follow his instructions but had responded effectively later.""When I instructed them to inhale and exhale for five seconds, some did it for three seconds and some did not even try,"" he said. ""Again, there were some who did it for seven seconds. So, everyone was reacting differently. Concentration levels of the addicts get affected because of their addiction and the problem becomes evident if one quits suddenly. The problem can be addressed with yoga and counselling sessions.""Fifty-five-year-old Bhagwan Thakur is a patient at the centre. He said he had been experiencing trembling in his hands which had improved after he joined the yoga sessions.""My hands don't tremble any more,"" he said. ""The yoga session has really been helpful.""He is accompanied by his wife, Meena Devi, to the sessions. ""I am trying to learn the asanas properly so that I can correct my husband if he goes wrong,"" she said. ""Doctors have told us that yoga will be very helpful for my husband.""Shravan Ram, another patient at the de-addiction centre, said he was a little restless before joining the yoga session but now he was fine.Centre nodal officer Santosh Kumar said the yoga instructor had been engaged on the instruction of principal health secretary R.K. Mahajan. ""Yoga is a wonderful practice for people who are recovering from an addiction,"" he said. ""Drug and alcohol abuse always means that people lose touch with their bodies and minds. Yoga allows them to gain control over their senses and become more comfortable. It can be particularly helpful during the early days of recovery when the patient deals with heavy stress.""The 30-bed de-addiction centre at NMCH now has eight attendants to look after the patients.""We have engaged the attendants because the patients need to be under constant surveillance,"" said Santosh. ""The patients can do risky things.""Yogi Mahesh, a yoga guru at the Bihar School of Yoga who runs a yoga centre in Odisha, said yoga could do wonders for those who were trying to get out of some kind of addiction.""The bhramari asana helps in increasing the concentration of the person who practises it,"" he said. "" One can master meditation techniques in three sittings and only under a good yoga guru. But anulom vilom may not be too beneficial because the addicts will get fed up with all the physical exercise that it requires. ""The de-addiction centre has also equipped its wards with LED televisions, air-conditioners, carrom boards and other facilities to engage the addicts.""Everything runs according to a fixed routine here,"" said Santosh. ""It helps the patients to heal faster."""
Stolen bikes for liquor sale, By Our Special Correspondent in Patna  ,  6/09/2018 ,"Patna: Bootleggers are using stolen motorbikes to deliver bottles of Indian made foreign liquor (IMFL) to alcoholics in dry Bihar.The startling fact came to the fore during interrogation of Mukhlal Choudhary, who was arrested from Wazirganj in Rohtas district on Wednesday. The police seized 12 bags of Rajasthan-made foreign liquor during the operation. Acting on a tip-off, a police team led by Rohtas superintendent of police Satyaveer Singh raided a house at Wazirganj under Sasaram Muffasil police station and arrested Mukhlal Choudhary, an alleged smuggler.Mukhlal, who was in the lucrative trade for the past year, reportedly revealed that stolen two-wheelers were being used to deliver consignments to alcoholics in and around Rohtas district. Five stolen motorbike were seized during the police operation against liquor smugglers. Sasaram sub-divisional police officer Rajesh Kumar said the district police have already appealed to residents to refrain from illegal activities.Those involved in violation of the new prohibition law would be dealt with sternly, he said, adding that such raids would continue.Earlier, SP Satyaveer had asked residents to inform police about sale, consumption and manufacture of liquor in their respective areas. The names of informers would be kept secret, he had told the residents.In June, the police had seized over 544 bags of IMFL worth Rs 1.5 crore from an abandoned truck on the National Highway-30 in Rohtas district on Friday.The truck, bearing a Rajasthan registration number, was found abandoned near Kalaspur village under the jurisdiction of Dinara police station in the district, around 165km southwest of Patna. The driver and cleaner, however, had escaped from the spot."
Free wood for last rites - Anonymous donor foots cremation bills, By VISHVENDU JAIPURIAR ,  25/06/2013 ,"Firewood for cremation will now be given free of cost at Muktidham crematorium, Kheergaon in Hazaribagh, thanks to an anonymous donor. The donor, who doesn’t want to be identified, has deposited an amount with the forest department, which has also been kept under wraps. Now, anyone who approaches Baba Bhutnath Mandali, the outfit that procures wood from forest department godown at Charhi, 15km from Hazaribagh, will get cremation firewood completely free of cost. Mohammad Khalid, of NGO Murda Kalyan Samiti, a social worker known for performing last rites of unclaimed bodies, said the donor asked him to put up signboards in this regard. “Three quintals of biofuel are required to cremate a body and each costs Rs 700. But from now on, no one will have to spend a paisa on firewood at Muktidham,” he said.Even a month earlier, wood was a precious commodity at the crematorium. The forest department hiked the price of wood per quintal to Rs 600 for selling the Mandali, which in turn sold it to the bereaved at the crematorium at Rs 450, running a loss of Rs 150 per quintal. As a result, the Mandali stopped buying wood. In protest of this anomaly, CPM district secretary Ganesh Kumar Singh on May 23 posed as a corpse. Finally, the forest department fixed Rs 700 as the new price. But all that is now in the past. “The crematorium received a large consignment of wood on Friday, June 21, thanks to the benefactor. This is a good start,” Khalid said. Mandali members are also informing kin of the bereaved about the free firewood facility. Khalid said he had also met local officials and donors on kerosene donation. Around 100l of kerosene is needed per month at the crematorium. “We want to provide free kerosene too. Some donors in Hazaribagh are ready to pay for kerosene,” he said."
Clarification, By Staff Reporter in Guwahati  ,  24/08/2005 ,"Guwahati, Aug. 24: Raina B, co-founder and chairperson of Praerona Al-Anon Family Group, Guwahati, clarified here today that Alateen is a part of Al-Anon, which is a sister discipline of Alcoholics Anonymous. She said the Praerona Al-Anon Family Group of the city celebrated its tenth anniversary on August 5 this year.According to Raina B, Al-Anon does not reform alcoholics. She said Al-Anon is an international fellowship for friends and family members of alcoholics who share their experience, strength and hopes with each other in order to cope with the trauma of living with an alcoholic.She said this while referring to a news item, ?Organisation affiliated to Alcoholics Anonymous encourages children to help addicts kick the habit? which appeared in The Telegraph on August 12, 2005.She further said that Alcoholics Anonymous is also an international fellowship helping alcoholics to overcome their drinking problems. Alcoholics Anonymous is nowhere related to drugs. Narcotics Anonymous helps addicts.She emphasised that Alateen members do not help addicts to kick their habit. Alateen membership merely helps the children to cope with the trauma of living with alcoholism in a friend or family member.She further informed that on the August 7, the Petals of Peace Alateen Group, Guwahati was formed under the sponsorship of the Praerona Al-Anon Family Group. This is the first Alateen group in the Northeast."
Beyond Headlines, By The Telegraph Online ,  6/08/2009 ,"Cage shortfall gives leopards free run Their forays into human habitation has become so frequent that the forest department is running out of cages to confine these wild cats.A rapid increase in man-leopard conflict in the twin Upper Assam districts of Jorhat and Sivasagar has forced the forest department to order more cages.“Leopards have become a real menace in these two districts with the big cats straying into human habitat regularly. We have erected cages in several areas and ordered more for other places,” a forest official in Sivasagar district said.Thirty leopards have been captured in the two districts by the forest department in the past year, most of these from human habitats.During the same period, 20 leopards died in human attacks. Several persons were also injured by the animals. The official said these animals are released in reserve forests far away from human settlements after being caged. “We also conduct a thorough medical check on the animals before releasing them,” he said.Anonymous helpline Setting up complaint boxes in schools so that the students can address their grievances with anonymity can go a long way in curbing corporal punishments in schools.This suggestion was among a set of recommendations made by experts during a three-day state consultation on Discipline with Dignity — Promoting Positive Discipline in Schools of Assam held in Guwahati from July 28.Experts, resource persons and others who participated in the consultation organised jointly by Unicef and Law Research Institute of Gauhati High Court, were unanimous on establishing an effective redressal mechanism in schools. They felt it would facilitate direct and effective communication with students and help authorities deal effectively with the menace that is still very much prevalent in the schools of the state.They also emphasised sensitisation of teachers, the community, parents, children and media on child rights, child protection, and corporal punishment. They discussed creating positions of protection officer as the nodal officer to operationalise the system of redressal at district level and as student counsellor at the school level in a bid to do away with corporal punishment in schools.FootnoteSinger Zubeen Garg in now on a new mission. He has decided to create awareness among the people about the diverse tribes living in the region. Garg, with this end in sight, has decided to don traditional outfits of various tribes during his stage performances in India and abroad. Garima Garg, his wife and fashion designer, said they have collected original models of traditional outfits from Arunachal Pradesh, Mizoram and Assam and she is now giving them a modern touch without compromising on their originality. She said the singer would display these outfits in his forthcoming functions in the US, Dubai, South Africa and different parts of India. “A unique feature of the Northeast is its several tribes and their rich traditions. Unfortunately, the rest of India hardly knows anything about the tribes. If Zubeen wears such outfits during his performance he will definitely be able to create an interest and awareness about the tribes. In a few functions where Zubeen wore tribal outfits the audience later came and inquired about the dresses and tribes,” Garima said. Zubeen and Garima recently visited Namphake village in Dibrugarh district. The village is inhabited by Tai Phake, a lesser-known tribe believed to be an offshoot of the Tai race, which entered Assam in the latter half of the 18th century from Yunnan province of China. “We have collected some original designs of Tai Phake. I am trying to give them a modern touch. We will be visiting many other tribal villages in the region,” she added. "
"Miracle pill hope for alcoholics, drug addicts", By The Telegraph Online ,  16/11/2004 ,"New York, Nov. 15 (AP): A pill that helps you lose weight and quit smoking? That was amazing enough to capture headlines last week. But scientists say the experimental drug might be even more versatile, providing a new tool to help people stop abusing drugs and alcohol, too.It?s called Rimonabant, or Acomplia, and last week researchers reported it could help people not only lose weight but keep it off for two years.That burnished the drug?s reputation after two studies in March, which suggested it could fight both obesity and smoking, two of humanity?s biggest killers.The French pharmaceutical firm Sanofi-Aventis plans to seek federal approval for Rimonabant next year. But the drug?s benefits may go beyond just smokers and obese people, researchers say.?I think it?s going to have a big impact on the treatment of addiction,? said Dr. Charles ?Brien, an addiction expert at the university of Pennsylvania and the Philadelphia Veterans Affairs Medical Centre.Animal studies suggest Rimonabant can block the effects of marijuana and fight relapse in alcohol and cocaine abuse, he said. Once it is approved for treating obesity or smoking, ?We?ll be free to study it in these other areas and I?ll try to get my hands on it as quickly as possible,? ?Brien said.He?s not alone in his enthusiasm.The National Institute on Alcohol Abuse and Alcoholism is interested in seeing whether Rimonabant can help treat heavy drinkers, said George Kunos of the institute. No human test results for Rimonabant in alcohol abuse have yet been published, he said."
Medical bill, By The Telegraph Online ,  15/08/2011 ,
Kids wage war on alcohol, By The Telegraph Online ,  12/08/2005 ,"?My husband was an alcoholic. I was frustrated with life and that also led to friction between us. But things changed as soon as I joined Al-Anon. When I started sharing my experiences with other Al-Anon members, I got the strength to bear with my husband?s habit and started giving him the necessary care,? she said.Jahnabi?s husband is now an ?occasional drinker?.Arup Bhattacharyya, founder of Alcoholics Anonymous in Guwahati, now manages a shelter for addicts, Resurrection Home, at Bonda. ?I was an alcoholic. But Alcoholics Anonymous and my wife helped me overcome this disease. The love and care of family members can do wonders. You must know how to behave with alcoholics,? he said."
AA reform spirit key to deaddiction, By OUR CORRESPONDENT in Jamshedpur  ,  18/02/2003 ,"Jamshedpur, Feb. 18: Alcoholic Anonymous is their home for deaddiction. And AA welcomes them.The Alcoholics Anonymous (India) conducted an awareness meeting at the Indigo Block in Loyola School campus today.Some of the former alcoholics narrated the ill-effects of alcoholism. They tried to drive home the point that it brings misery and weakens the body, causing premature death.The audience, mostly former alcoholics, listened to the experiences narrated by the speakers with rapt attention. The experiences presented a true picture about the dark side of alcoholism. Most of the participants who attended today’s awareness programme were from Inter-Club of Kharagpur, while others belonged to the city and Mumbai.Inter-Club is a small group of people who discuss common problems and try to solve them collectively. According to Lawrie F, chairman, Alcoholics Anonymous (India), 60 per cent of the alcoholics who attend their meetings get rid of alcoholism.“Our recovery level is 60 per cent. Alcoholics who had attended the 90-odd meetings of the AA have been successful in getting rid of the habit,” he told The Telegraph.Lawrie added that the instant recovery level was almost 50 per cent.He explained that alcoholics have to take their own initiative and come for the meetings. “The meetings are nothing but sharing of experiences between former alcoholics and those who want to get rid of the habit. The sharing of experiences does help in many ways,” he said.“One gets to understand that we are powerless against alcohol and that it has an overbearing influence on us. Admission (of consuming alcohol) is the main factor leading alcoholic to kick the habit,” he added.Mumbai-based Lawrie said the meetings generally run over a period of three months. “But it can be extended. There is no time limit,” he added.The 12 basic steps to get rid of alcoholism include admission that we are powerless against alcohol, to believe that a power greater than us could restore us to sanity, make a searching and fearless moral inventory of ourselves, he added. "
'I call them the 'Secret Seven' - because the first letter was anonymous'," By Bishakha De Sarkar meets Mridula Mukherjee, director of the Nehru Memorial Museum and Library in Delhi, who has been embroiled in a controversy over her continuation as the head of the prestigious institution ",  23/08/2009 ,"Rajnath Singh can afford to smile. The daggers in the quarrelsome Bharatiya Janata Party are nowhere as sharp as the weapons — mainly words and views — that are being employed in the war of all wars. If the BJP chief thinks he’s had a bad week, he should chat up historian Mridula Mukherjee: she’s had a bad year.But the director of the Nehru Memorial Museum and Library (NMML) can now sit back and talk about it — and even laugh an occasional hollow laugh. Her term as the head of an institute that is to the academic world what the Kodak Theatre is to Hollywood has just been extended. The conflict, however, is not yet over. She has won the battle, but the war rages on.“The drama started soon after I was named director in July 2005. Do you know, I joined 13 months after I was appointed? It’s a record. Prevarication and manipulation sought to delay my appointment and if possible prevent it at the level of the bureaucracy,” she says.But for that, we need to delve into the past a bit. For those who came in late, the NMML, set up in 1964 to honour India’s first Prime Minister, started functioning in 1966 as a society. Exactly 40 years later, Mukherjee left Jawaharlal Nehru University, where she had been teaching since 1972, to join the NMML on deputation.The elegant stone and stucco structure, commonly referred to as Teen Murti, stands imperially at one end of Lutyens’s Delhi. The old colonial building — now the museum — is where Nehru lived, and before him, the commander-in-chief of the British army. The 25-acre complex with lush green lawns and tiny fountains reflects all that is well with the world.What it hides is the skullduggery that has been echoing in the solemn corridors of the library for over a year now. Mukherjee believes that the 13-month-long delay in her taking over as director because of bureaucratic glitches is linked to the ongoing campaign against her. “I didn’t know it then. I know now,” she says.The first salvo was fired in February 2008. The then headmaster of Doon School, Kanti Bajpai — one of Mukherjee’s old colleagues from JNU — was merely the missile launcher. He sent a note to NMML’s Exective Council (EC) chairman Karan Singh, saying that he had received a letter expressing concern over the happenings in the library from someone he “respect(s) and trust(s) who wishes to remain anonymous, and that he was forwarding it to him. One month later, he followed it up with another letter to Singh, saying that he was now dispatching a “signed letter” to him. The second letter was initialled by seven respected academics — including Sumit Sarkar and Ramachandra Guha.“I call them the ‘Secret Seven’ — because the first letter was anonymous,” laughs Mukherjee.In little more than a year, the seven had multiplied to 57. In June 2009, a letter was sent to the Prime Minister — who also heads the culture ministry which is the administrative head of the NMML. The signatories included Raj Mohan Gandhi (University of Illinois), Sunil Khilnani (Johns Hopkins University), Partha Chatterjee (Centre for Studies in Social Sciences, Calcutta), Sanjay Subrahmanyam (University of California) and Mushirul Hasan (Jamia Millia Islamia vice-chancellor). It was a veritable list of the Who’s Who of academia, and included the original seven signatories.The letter regretted that the NMML had “rapidly deteriorated in its functioning” in the last few years. The list of complaints was a long one. Since 2006, it had not issued a single publication and had discontinued the “excellent” journal Contemporary India; it had stopped acquiring manuscripts and microfilming newspapers in Indian languages; the morale of the staff was low; and pluralism was being denied. “Whereas once the academic culture of the NMML represented the diversity of scholarly thought and practice across India, now it is hostage to a particular faction of a particular department of a particular university in New Delhi,” it said.Fortunately, the Prime Minister’s eldest daughter is a historian — and she would have been able to explain to him, if he’d asked, that the reference was to what is informally called the Bipan Chandra faction in JNU. Historian Chandra, Mukherjee’s mentor in JNU, is seen in many circles as the leader of the Congress school of history.The letter, Mukherjee believes, was aimed at blocking her extension as NMML director though it had been decided before she joined that she would, if she wished to, stay on till she was 65.“I am only emphasising this because in recent months, to my utter surprise, an attempt has been made to spread disinformation that the retirement age of the NMML director is 60 years — and therefore I could not have got an extension because I will be 60 next year. Every possible trick in the trade was used.”The letter to the Prime Minister did bring up the issue of the end of her term. “Once the present director’s term ends in August, her successor must be chosen through an open, transparent process… Once a new director takes office, he or she must be encouraged by the reconstituted EC to reach out once more to the scholarly community as a whole, thus to restore the NMML’s non-partisan and plural character.”The EC, however, decided to disregard the petitions against Mukherjee, and earlier this month extended her term by another two years.Mukherjee believes that at the root of the campaign against her is an enquiry by the petitions committee of Parliament.“A year before I joined, between February and May 2005, a whole process of selecting fellows had been gone through. Something that happened during that period became the subject of a complaint by a professor who felt he had been wronged by the selections committee.” The NMML was pulled up by the Parliamentary committee, and asked to hold its own enquiry and take action against the officials responsible.An enquiry was ordered. “The then director is no longer under our purview. So what NMML did was suspend the deputy director. The enquiry began. And that’s when the storm broke,” she says.The signatories to the campaign, she believes, may not know the whole truth. “It’s like I am your friend — and you say, ‘You don’t know what that woman is doing in Nehru memorial. She is making a complete mess.’ And I say, ‘Oh really?’ and you say ‘Really, I go there every time.’ And I trust you, and sign up.”But Mukherjee has her share of supporters too. Historian Irfan Habib is with her, and D.N. Jha, also a historian, has sent a letter to the Prime Minister signed by over 100 academics, all reposing their faith in her as the NMML director. Among her other surprising backers are former Election Commissioner James Lyngdoh, conservationist Pradip Krishen and activists Aruna Roy and Medha Patkar. In a detailed letter to the Prime Minister, feminist Madhu Kishwar, a fellow of the Centre for the Study of Developing Societies, has expressed her “deep concern and anguish at the totally unmerited, mala fide unsubstantiated personal attacks against Professor Mridula Mukherjee.”The director — who did her PhD from JNU after studying in Lady Shri Ram College in Delhi — stresses that the allegations had no substance in them. Instead of publishing books, the NMML would rather have professional publishers do the job for it. “I suspended the publication of the journal Contemporary India because it was not first rate — it was of very uneven quality. It had been in place for about five years, and its circulation was down to 20 copies. There were no takers for it.”Contrary to what the petitioners claim, she stresses that she has not been sitting idly either. She has completed a 10-volume publication of the selected works of Jayaprakash Narayan, initiated a digitisation project and a children’s resource centre at the NMML, along with library redesign and refurbishment and museum renovation.Mukherjee, who otherwise speaks almost without breathing as she lists all that she has done for the library, pauses for a moment when asked to comment on allegations that she had opened the NMML doors to the Youth Congress, a body not quite known for its intellectual content.“Everybody enjoys this political linkages thing,” she says. “But I have not done a single programme in collaboration with the Congress, or any organisation associated with the Congress. We have done collaborative programmes with many other organisations close to other political parties, but with the Congress we haven’t. I am not saying if we had it would be a crime. I am merely stating it as a fact. The Youth Congress is not a banned organisation. If they want to book our hall to hold a meeting, and not a rally, they can.”She points out that the NMML has been hired by embassies. Arun Shourie of the BJP and ex-Congressman Natwar Singh made use of the library in recent times. Earlier this week, Jaswant Singh’s book on M.A. Jinnah was released at the NMML by its publishers who hired one of its halls. In less than two days, of course, Jaswant Singh had been expelled from the BJP. Whoever said the NMML was inactive?"
Tax on land sale, By The Telegraph Online ,  21/03/2011 ,
