Heading,Publisher,Date and Time,Body
"
			Alcoholics Anonymous founding document sells for $2.4 million		",AP,AP,"He says he attempted to buy the manuscript when it was up for auction several years ago, and he is thrilled at the opportunity to share it publicly.The founding document of Alcoholics Anonymous, known to adherents as the ‘Big Book,’ sold at auction Saturday for $2.4 million to billionaire and Indianapolis Colts owner Jim Irsay. The auction house Profiles in History announced the sale of the manuscript with handwritten notes from the group’s founding fathers.Irsay told The Associated Press he plans to build a special display for the manuscript and display it for several months a year at Alcoholics Anonymous’ headquarters in New York. He says he attempted to buy the manuscript when it was up for auction several years ago, and he is thrilled at the opportunity to share it publicly.Irsay said he considers himself a steward for the manuscript, which he said he may also send out on tour so it can be seen by more people. “I’ve held it. I’ve looked through it. It is absolutely mind-blowing,” he said. “It was just a miracle to see this thing live.”Irsay, who was clearly excited about obtaining the manuscript during a telephone interview, said he considered remaining anonymous about purchasing the manuscript, but wanted to go public to try to relieve the stigma of alcoholism and addiction.“The only way we stay sober is to give it away,” Irsay said.“I think it’ll help a lot of people,” he said. “That’s the reason I’m doing it.”He said he attended his first Alcoholics Anonymous meeting 25 years ago, and marvels at the reach of the organization and what its founders built.It is the third time the 161-page typed document has been sold. It sold in 2007 for $850,000 and for $1.6 million in 2004. Saturday’s auction was delayed by a dispute with Alcoholics Anonymous World Services, Inc.The manuscript includes notes and scribbles from one of AA’s founders, William Wilson, more commonly known as ‘Bill W.’Wilson’s widow Lois owned the papers after his death in 1971, and she passed them on to her friend Barry Leach. Alcoholics Anonymous said Leach signed and notarized a letter in 1979 saying the manuscript would belong to the organization after his death. He died in 1985, but the manuscript did not make its way to Alcoholics Anonymous, which did not know about the notarized letter at the time.Its ownership history in the ensuing years is not entirely clear until 2004, when Sotheby’s auctioned it for $1.6 million. Then it sold to Roberts in 2007.A website devoted to the auction describes the manuscript as a “Bible to millions” that has sold 30 million copies since 1939, been translated into 43 languages and has been ranked by the Library of Congress as a top non-fiction book that shaped America.“We are thrilled this most historic manuscript has sold and hope it will be exhibited for the world to see the manuscript that has saved the lives of millions of people,” Profiles in History founder Joe Maddalena said."
"
			Alcoholics Anonymous founding document sells for $2.4 million		",AP,AP,"He says he attempted to buy the manuscript when it was up for auction several years ago, and he is thrilled at the opportunity to share it publicly.The founding document of Alcoholics Anonymous, known to adherents as the ‘Big Book,’ sold at auction Saturday for $2.4 million to billionaire and Indianapolis Colts owner Jim Irsay. The auction house Profiles in History announced the sale of the manuscript with handwritten notes from the group’s founding fathers.Irsay told The Associated Press he plans to build a special display for the manuscript and display it for several months a year at Alcoholics Anonymous’ headquarters in New York. He says he attempted to buy the manuscript when it was up for auction several years ago, and he is thrilled at the opportunity to share it publicly.Irsay said he considers himself a steward for the manuscript, which he said he may also send out on tour so it can be seen by more people. “I’ve held it. I’ve looked through it. It is absolutely mind-blowing,” he said. “It was just a miracle to see this thing live.”Irsay, who was clearly excited about obtaining the manuscript during a telephone interview, said he considered remaining anonymous about purchasing the manuscript, but wanted to go public to try to relieve the stigma of alcoholism and addiction.“The only way we stay sober is to give it away,” Irsay said.“I think it’ll help a lot of people,” he said. “That’s the reason I’m doing it.”He said he attended his first Alcoholics Anonymous meeting 25 years ago, and marvels at the reach of the organization and what its founders built.It is the third time the 161-page typed document has been sold. It sold in 2007 for $850,000 and for $1.6 million in 2004. Saturday’s auction was delayed by a dispute with Alcoholics Anonymous World Services, Inc.The manuscript includes notes and scribbles from one of AA’s founders, William Wilson, more commonly known as ‘Bill W.’Wilson’s widow Lois owned the papers after his death in 1971, and she passed them on to her friend Barry Leach. Alcoholics Anonymous said Leach signed and notarized a letter in 1979 saying the manuscript would belong to the organization after his death. He died in 1985, but the manuscript did not make its way to Alcoholics Anonymous, which did not know about the notarized letter at the time.Its ownership history in the ensuing years is not entirely clear until 2004, when Sotheby’s auctioned it for $1.6 million. Then it sold to Roberts in 2007.A website devoted to the auction describes the manuscript as a “Bible to millions” that has sold 30 million copies since 1939, been translated into 43 languages and has been ranked by the Library of Congress as a top non-fiction book that shaped America.“We are thrilled this most historic manuscript has sold and hope it will be exhibited for the world to see the manuscript that has saved the lives of millions of people,” Profiles in History founder Joe Maddalena said."
"
			The great bank fiddle		",Manish Sabharwal,04 am,"Bankers’ demands for accounting forbearance are dangerous and self-serving.Sardar Vallabhbhai Patel warned, “it is a folly to ignore realities; facts take their revenge if they are not faced squarely and well”. India’s banking crisis, a child of many parents, is surely part revenge for a multi-decade disastrous policy of regulatory forbearance in bad loan accounting. The sustained campaign by bankers and defaulters for extending this nonsense yielded results over the last few weeks, with a one-year deferral of Indian Accounting Standards (IndAS) and dilution of provisions for loans to companies in bankruptcy. This sustained campaign by bankers and defaulters — peaking in the parliamentary panel presentation last week — against the February 12 RBI circular that atones for the RBI’s past sins is shameful, dangerous and self-serving.Shameful: Two sets of accounting books — real and reported — created India’s curse of informality where only 7 million of 63 million enterprises were registered for indirect taxes before GST and only 1.5 per cent of our 1.2 billion citizens paid income tax before demonetisation. Both are up over 50 per cent over the last 24 months. Bankers pushing for accounting forbearance seem to believe that investors and the public are fools who only focus on de jeure (what they report) rather than de facto (what their reality is). India’s poverty is partly a child of our sense of humour about the rule of law; an entrepreneur who follows a rule feels like she missed a deal because of transmission losses between how the law is written, interpreted, practised and enforced. But sunshine is the best disinfectant; Corporate India is already live with IndAS, informality is rapidly reducing in the real economy, and banks should be at the forefront of transparency since they sell trust.Dangerous: The argument that India’s infrastructure would not be built without accounting forbearance is unverifiable at best, and nonsense at worst. Maybe a bond market would have developed. Maybe more equity would have been raised; large Indian companies with debt defaults have 50 per cent + promoter holding while great entrepreneurs like Sachin at Flipkart, Bhavish at Ola, Jeff Bezos at Amazon, and Jack Ma at Alibaba own less than 20 per cent of their companies. Maybe over-invoicing would not have happened. Maybe more foreign strategic investors would have come. Maybe EPFO would have begun infrastructure investing given its liability profile. Bank recapitalisations crowd out government spending — imagine if we could have used the last Rs 2 lakh crore in primary education, healthcare and apprenticeships. More delays in bad loan resolution will only increase recapitalisation demands.Self-serving: A telling story about banking comes from the global financial crisis: An American banker responds to his risk management colleague who questions selling a product that would surely explode in a few years with the cryptic email “IBG/YBG” (I’ll be gone, you’ll be gone). Giving money is an unskilled job; the skill lies in getting money back. There are immediate consequences of accounting profitability for banker compensation and careers but the consequences of poor decisions are so far in the future that it’s hard to hold bankers, board directors, and auditors accountable. Nicholas Taleb calls this the Bob Rubin trade in his new book Skin in the Game; heads he wins, tails he shouts Black Swan (an unforeseeable, uncontrollable and rare event). Accounting forbearance never reduces the size of the problem; it gets successors to deal with a bigger problem. Bankers and defaulters currently positioning accounting forbearance as the only alternative to an economy-wide credit drought are hardly being honest, dispassionate or fair.While the logical sequence for bad loans is revealing, recognising and resolving, India is doing it in reverse order. There is much blame to go around and the RBI cannot — and should not — escape its fair share. But the RBI has begun healing itself. The RBI forcing NCLT filings by banks kicked off a splendid process of resolving that will soon start a stream of good news for 41 big defaults; this technology should be extended to all defaulters above Rs 100 crore. India needs to introspect on banking supervision, governance and human capital — not all defaults are fraud, only a few bankers are corrupt, and Binani withdrawing its Supreme Court petition for insolvency termination last week was positive. But the first stage of Alcoholics Anonymous is acceptance; RBI’s February circular hurts evergreening, deferring and fudging for big defaults (it exempts MSME loans up to Rs 25 crore). The default response of blunting regulatory and accounting actions based on whining by defaulters and bankers needs revaluation; this whining often positions self-interest as national interest. And acting on this whining enables unskilled bankers and defaulters to punish skilled bankers and good borrowers.Governments everywhere are conflicted between their roles as custodians of financial stability, agents of growth, and shareholders of banks. Notwithstanding the nobility of past motivations, it is now clear that India’s current banking crisis is a child of multi-decade action and inaction by the RBI and the Department of Financial Services in the Ministry of Finance. Cleaning up the banking system and ending crony capitalism now needs them to march together as a team. In the next few years, we must create a public and private banking system with governance, culture and consequences. If we fail, we will all be guilty of stealing from our grandchildren because government finances cannot be on the hook forever for all bank deposits without shrinking education, health, and social security expenditure. Accounting solutions to bad loans deserve the quip that for every complex problem there is a solution that is simple, plausible and wrong. Ghalib said it better “Umar bhar Ghalib yahi bhool karta raha, dhool chehre pe thi, lekin aina saaf karta raha (All his life, Ghalib kept making the same mistake; dust was on his face but he kept cleaning the mirror)”. Fiddling with accounting (the mirror) doesn’t change reality (the dust on bank faces). Let’s end it."
"
			The great bank fiddle		",Manish Sabharwal,04 am,"Bankers’ demands for accounting forbearance are dangerous and self-serving.Sardar Vallabhbhai Patel warned, “it is a folly to ignore realities; facts take their revenge if they are not faced squarely and well”. India’s banking crisis, a child of many parents, is surely part revenge for a multi-decade disastrous policy of regulatory forbearance in bad loan accounting. The sustained campaign by bankers and defaulters for extending this nonsense yielded results over the last few weeks, with a one-year deferral of Indian Accounting Standards (IndAS) and dilution of provisions for loans to companies in bankruptcy. This sustained campaign by bankers and defaulters — peaking in the parliamentary panel presentation last week — against the February 12 RBI circular that atones for the RBI’s past sins is shameful, dangerous and self-serving.Shameful: Two sets of accounting books — real and reported — created India’s curse of informality where only 7 million of 63 million enterprises were registered for indirect taxes before GST and only 1.5 per cent of our 1.2 billion citizens paid income tax before demonetisation. Both are up over 50 per cent over the last 24 months. Bankers pushing for accounting forbearance seem to believe that investors and the public are fools who only focus on de jeure (what they report) rather than de facto (what their reality is). India’s poverty is partly a child of our sense of humour about the rule of law; an entrepreneur who follows a rule feels like she missed a deal because of transmission losses between how the law is written, interpreted, practised and enforced. But sunshine is the best disinfectant; Corporate India is already live with IndAS, informality is rapidly reducing in the real economy, and banks should be at the forefront of transparency since they sell trust.Dangerous: The argument that India’s infrastructure would not be built without accounting forbearance is unverifiable at best, and nonsense at worst. Maybe a bond market would have developed. Maybe more equity would have been raised; large Indian companies with debt defaults have 50 per cent + promoter holding while great entrepreneurs like Sachin at Flipkart, Bhavish at Ola, Jeff Bezos at Amazon, and Jack Ma at Alibaba own less than 20 per cent of their companies. Maybe over-invoicing would not have happened. Maybe more foreign strategic investors would have come. Maybe EPFO would have begun infrastructure investing given its liability profile. Bank recapitalisations crowd out government spending — imagine if we could have used the last Rs 2 lakh crore in primary education, healthcare and apprenticeships. More delays in bad loan resolution will only increase recapitalisation demands.Self-serving: A telling story about banking comes from the global financial crisis: An American banker responds to his risk management colleague who questions selling a product that would surely explode in a few years with the cryptic email “IBG/YBG” (I’ll be gone, you’ll be gone). Giving money is an unskilled job; the skill lies in getting money back. There are immediate consequences of accounting profitability for banker compensation and careers but the consequences of poor decisions are so far in the future that it’s hard to hold bankers, board directors, and auditors accountable. Nicholas Taleb calls this the Bob Rubin trade in his new book Skin in the Game; heads he wins, tails he shouts Black Swan (an unforeseeable, uncontrollable and rare event). Accounting forbearance never reduces the size of the problem; it gets successors to deal with a bigger problem. Bankers and defaulters currently positioning accounting forbearance as the only alternative to an economy-wide credit drought are hardly being honest, dispassionate or fair.While the logical sequence for bad loans is revealing, recognising and resolving, India is doing it in reverse order. There is much blame to go around and the RBI cannot — and should not — escape its fair share. But the RBI has begun healing itself. The RBI forcing NCLT filings by banks kicked off a splendid process of resolving that will soon start a stream of good news for 41 big defaults; this technology should be extended to all defaulters above Rs 100 crore. India needs to introspect on banking supervision, governance and human capital — not all defaults are fraud, only a few bankers are corrupt, and Binani withdrawing its Supreme Court petition for insolvency termination last week was positive. But the first stage of Alcoholics Anonymous is acceptance; RBI’s February circular hurts evergreening, deferring and fudging for big defaults (it exempts MSME loans up to Rs 25 crore). The default response of blunting regulatory and accounting actions based on whining by defaulters and bankers needs revaluation; this whining often positions self-interest as national interest. And acting on this whining enables unskilled bankers and defaulters to punish skilled bankers and good borrowers.Governments everywhere are conflicted between their roles as custodians of financial stability, agents of growth, and shareholders of banks. Notwithstanding the nobility of past motivations, it is now clear that India’s current banking crisis is a child of multi-decade action and inaction by the RBI and the Department of Financial Services in the Ministry of Finance. Cleaning up the banking system and ending crony capitalism now needs them to march together as a team. In the next few years, we must create a public and private banking system with governance, culture and consequences. If we fail, we will all be guilty of stealing from our grandchildren because government finances cannot be on the hook forever for all bank deposits without shrinking education, health, and social security expenditure. Accounting solutions to bad loans deserve the quip that for every complex problem there is a solution that is simple, plausible and wrong. Ghalib said it better “Umar bhar Ghalib yahi bhool karta raha, dhool chehre pe thi, lekin aina saaf karta raha (All his life, Ghalib kept making the same mistake; dust was on his face but he kept cleaning the mirror)”. Fiddling with accounting (the mirror) doesn’t change reality (the dust on bank faces). Let’s end it."
"
			At Lajpat Nagar school, an AA meeting only for women		",Somya Lakhani,New Delhi | ,"In the classroom — apart from wooden chairs and photos of accomplished people — were posters of the group, which read: ‘Who you see here, what you hear here, when you leave here, let it stay here’.On Saturday afternoon, when Malini’s daughter sent her a text requesting her to babysit her nine-month-old for a few hours, she was filled with gratitude. “My daughter was trusting her child with me, an alcoholic. I feel like I’m becoming a parent again and my daughter is becoming my child again, instead of my caretaker,” she told an audience of 30 women, gathered at a school in Lajpat Nagar on day one of the two-day All India Alcoholics Anonymous (AA) Women’s Convention.Malini has been sober for 14 years now. Over coffee and cookies, tears and laughter, women from Delhi, Bengaluru, Manipur, Meghalaya and even New Zealand shared stories of their struggles with, and triumphs over, alcoholism.From 26-year-old Devika, who has been sober for a year now, to Kamla, 74, who gave up alcohol 17 years ago; from Neelam, who looked for “the next high” even at her mother’s cremation a year ago, to 37-year-old Megha who gave up alcohol and substances after a bad business call — the room was teeming with stories of survival.In the classroom — apart from wooden chairs and photos of accomplished people — were posters of the group, which read: ‘Who you see here, what you hear here, when you leave here, let it stay here’.The day began with a ‘serenity prayer’, and was followed with panel discussions on “disease and recovery” and “creating awareness about AA for women”.“Male and female alcoholics are similar but also very different. The difference lies in how secretive it is in the case of women. The shame and guilt is higher if it’s a woman — and the answer is patriarchy. That it’s hidden means fewer women will get help or reach out for help,” a participant said.For 29-year-old Natasha, who has now been sober for six years, the toughest bit was going back to the same office where she was caught drinking. “That environment was difficult; people made cheeky comments and whatnot. When a man drinks, he is macho; when a woman does it, she is promiscuous. This means many drink secretly, and their families don’t get them help,” Natasha, who took to alcohol and substance abuse at 17 and is now a sponsor (mentor) to a woman alcoholic, said.Megha, 37, who works in the fashion industry, spoke about the “normalisation of alcohol and drug abuse in peer circles”. “Many in our generation don’t acknowledge they are alcoholics… Ever since I quit, some of my friends tell me I have become boring. But I am at peace with myself, so it’s all good,” she said."
"
			At Lajpat Nagar school, an AA meeting only for women		",Somya Lakhani,New Delhi | ,"In the classroom — apart from wooden chairs and photos of accomplished people — were posters of the group, which read: ‘Who you see here, what you hear here, when you leave here, let it stay here’.On Saturday afternoon, when Malini’s daughter sent her a text requesting her to babysit her nine-month-old for a few hours, she was filled with gratitude. “My daughter was trusting her child with me, an alcoholic. I feel like I’m becoming a parent again and my daughter is becoming my child again, instead of my caretaker,” she told an audience of 30 women, gathered at a school in Lajpat Nagar on day one of the two-day All India Alcoholics Anonymous (AA) Women’s Convention.Malini has been sober for 14 years now. Over coffee and cookies, tears and laughter, women from Delhi, Bengaluru, Manipur, Meghalaya and even New Zealand shared stories of their struggles with, and triumphs over, alcoholism.From 26-year-old Devika, who has been sober for a year now, to Kamla, 74, who gave up alcohol 17 years ago; from Neelam, who looked for “the next high” even at her mother’s cremation a year ago, to 37-year-old Megha who gave up alcohol and substances after a bad business call — the room was teeming with stories of survival.In the classroom — apart from wooden chairs and photos of accomplished people — were posters of the group, which read: ‘Who you see here, what you hear here, when you leave here, let it stay here’.The day began with a ‘serenity prayer’, and was followed with panel discussions on “disease and recovery” and “creating awareness about AA for women”.“Male and female alcoholics are similar but also very different. The difference lies in how secretive it is in the case of women. The shame and guilt is higher if it’s a woman — and the answer is patriarchy. That it’s hidden means fewer women will get help or reach out for help,” a participant said.For 29-year-old Natasha, who has now been sober for six years, the toughest bit was going back to the same office where she was caught drinking. “That environment was difficult; people made cheeky comments and whatnot. When a man drinks, he is macho; when a woman does it, she is promiscuous. This means many drink secretly, and their families don’t get them help,” Natasha, who took to alcohol and substance abuse at 17 and is now a sponsor (mentor) to a woman alcoholic, said.Megha, 37, who works in the fashion industry, spoke about the “normalisation of alcohol and drug abuse in peer circles”. “Many in our generation don’t acknowledge they are alcoholics… Ever since I quit, some of my friends tell me I have become boring. But I am at peace with myself, so it’s all good,” she said."
"
			Clandestine sex industry booms in Rohingya refugee camps		",Reuters,Reuters,"Many of the sex workers are longer term residents of the Bangladeshi camps, but the influx of tens of thousands more vulnerable women and girls is expected to fuel the trade.As Rohingya women struggle to access even the very basics such as food and water in Bangladesh’s overcrowded camps, a flourishing sex trade offers cash in times of desperation. Four women entered the clean-swept mud hut, took off their black shawls and sat cross-legged on the floor. When asked if they sold sex, the women stirred uncomfortably and were silent. Later, after cups of tea, the question came up again. The women caught each other’s eyes. Slowly one of them walked across the room to shut the door, another blocked the window. Darkness fell in the small, humid hut and voices turned to whispers.“If anyone finds out what we do, they will kill us,” murmured 26-year-old Romida. More than 600,000 ethnic Rohingya, a Muslim minority in Myanmar, have fled attacks by the Myanmar army since late August, fleeing across to border to southern Bangladesh in the world’s fastest growing refugee crisis. In Kutupalong, the biggest camp, the sex industry is thriving. Many of the sex workers are longer term residents of the Bangladeshi camps, but the influx of tens of thousands more vulnerable women and girls is expected to fuel the trade.“At least 500 Rohingya prostitutes live in Kutupalong,” said Noor, who works as a fixer, but many have lived for years in the camp which was established in 1992. “Recruiters now have their eyes set on the newcomers,” she added. UN agencies say they have no figures on the numbers of sex workers in the camps to make public.“It’s hard to come by numbers and we don’t collect data on how many sex workers are in the camps,” Saba Zariv, an expert on gender-based violence at the U.N.’s population agency UNFPA told the Thomson Reuters Foundation.RUMOURSA recent report from UNICEF, the U.N. children’s fund, UNICEF report said that in the chaotic, unorganised camps, children and youths could fall prey to traffickers and people looking to exploit and manipulate them. From tight-knit conservative Muslim communities, the Rohingya often turn a blind eye to prostitution. “People pretend that it doesn’t exist,” said Noor. “The girls meet their Bangladeshi clients outside the camps. They don’t sleep with other Rohingya. Our communities are tight and rumours could spread easily. Each girl wants to appear pure.”Many of the prostitutes are children who eat no more than one meal a day and don’t attend school. They work secretively without even their parents knowing. Rena, 18, who has lived in the camp for the past decade was forced to marry an alcoholic two years ago. “He mistreated me and beat me,” she said. Her abusive husband ran left her when she gave birth to her first son. Feeding her child became impossible.“That’s when I decided to become a sex worker. I was only 16, but it was out of desperation. I needed money.” Fourteen-year-old Kamru, who also sells sex, arrived years ago in a previous wave of Rohingya refugees. She has never been able to attend school because her family is too poor. “The camp is all I remember. I grew up here, but I was always hungry,” said the teenager, who like all the women and girls did not want to reveal her full name.Sex workers share common traits: poverty, abusive family members and lack of funds make them vulnerable enough to be trafficked into the camp’s sex industry. “If aid agencies can’t manage to provide people with their basic needs, the risk of trafficking grows – if we can’t establish a sustainable mechanism here and aid tires out, we could see trafficking levels rise,” said Lisa Akero, gender protection specialist at the International Federation of Red Cross and Red Crescent Societies (IFRC).SLIPPING INTO PROSTITUTIONRomida had been left hungry and malnourished and saw prostitution as the only way she could survive. “I told myself I’d do anything. I didn’t have a choice.” Her first client was a Bangladeshi friend who convinced her to have sex with him for 1,000 Taka ($12).“He paid good money,” she recalled. “The going-rate is 200 ($2.50) and my fixer takes half of it.” The business largely operates by phone calls, with pimps informing the girls where to go and who to see. On average, Romida has three male clients a week – and daren’t risk taking on more for fear of being found out. “I sometimes travel as far as Cox’s Bazar city, which is a two hour drive. Whenever I leave the camp, I have to make up excuses. I pretend to be visiting relatives or taking a shift at the market.”The Rohingya women meet men of all backgrounds – from university students to local politicians. In a brief phone conversation, Ali, a 23-year-old Bangladeshi student told the Thomson Reuters Foundation that he sleeps with prostitutes occasionally, but when he eventually marries he would expect his wife to be a virgin.Most clients don’t use condoms, the women said. “I take birth control injections, but I worry about HIV every day,” said Romida. She has never been tested for sexually transmitted diseases.SAFE SPACESHalf an hour’s drive away from the muddy, chaotic camps, surrounded by green rice paddies, local charity Pulse has set up a safe house for refugees that can host up to 30 women. Due to open in the coming days, the dormitory-style apartment is newly refurbished and has a psychologist on site.“The girls who come here might not want to talk about what is happening in their lives as they could be in danger,” said the shelter’s manager Kurshida Aktar, adding that all vulnerable women are welcome: victims of rape, single mothers and sex workers.“We’re creating an opportunity for women to rebuild their lives, access basic needs, have an outlet to talk and receive job training,” said Aktar. But the four Rohingya women who agreed to speak to the Thomson Reuters Foundation were largely unaware of such services. “We don’t ask about it for fear of being found out,” said Kamru, the youngest of the girls.As she walks outside the house, she slips into her black burqa, covering all but her eyes. “I have to take it off when I’m with my Bangladeshi clients,” she said. “But in the camp it’s my way to stay anonymous.”"
"
			Clandestine sex industry booms in Rohingya refugee camps		",Reuters,Reuters,"Many of the sex workers are longer term residents of the Bangladeshi camps, but the influx of tens of thousands more vulnerable women and girls is expected to fuel the trade.As Rohingya women struggle to access even the very basics such as food and water in Bangladesh’s overcrowded camps, a flourishing sex trade offers cash in times of desperation. Four women entered the clean-swept mud hut, took off their black shawls and sat cross-legged on the floor. When asked if they sold sex, the women stirred uncomfortably and were silent. Later, after cups of tea, the question came up again. The women caught each other’s eyes. Slowly one of them walked across the room to shut the door, another blocked the window. Darkness fell in the small, humid hut and voices turned to whispers.“If anyone finds out what we do, they will kill us,” murmured 26-year-old Romida. More than 600,000 ethnic Rohingya, a Muslim minority in Myanmar, have fled attacks by the Myanmar army since late August, fleeing across to border to southern Bangladesh in the world’s fastest growing refugee crisis. In Kutupalong, the biggest camp, the sex industry is thriving. Many of the sex workers are longer term residents of the Bangladeshi camps, but the influx of tens of thousands more vulnerable women and girls is expected to fuel the trade.“At least 500 Rohingya prostitutes live in Kutupalong,” said Noor, who works as a fixer, but many have lived for years in the camp which was established in 1992. “Recruiters now have their eyes set on the newcomers,” she added. UN agencies say they have no figures on the numbers of sex workers in the camps to make public.“It’s hard to come by numbers and we don’t collect data on how many sex workers are in the camps,” Saba Zariv, an expert on gender-based violence at the U.N.’s population agency UNFPA told the Thomson Reuters Foundation.RUMOURSA recent report from UNICEF, the U.N. children’s fund, UNICEF report said that in the chaotic, unorganised camps, children and youths could fall prey to traffickers and people looking to exploit and manipulate them. From tight-knit conservative Muslim communities, the Rohingya often turn a blind eye to prostitution. “People pretend that it doesn’t exist,” said Noor. “The girls meet their Bangladeshi clients outside the camps. They don’t sleep with other Rohingya. Our communities are tight and rumours could spread easily. Each girl wants to appear pure.”Many of the prostitutes are children who eat no more than one meal a day and don’t attend school. They work secretively without even their parents knowing. Rena, 18, who has lived in the camp for the past decade was forced to marry an alcoholic two years ago. “He mistreated me and beat me,” she said. Her abusive husband ran left her when she gave birth to her first son. Feeding her child became impossible.“That’s when I decided to become a sex worker. I was only 16, but it was out of desperation. I needed money.” Fourteen-year-old Kamru, who also sells sex, arrived years ago in a previous wave of Rohingya refugees. She has never been able to attend school because her family is too poor. “The camp is all I remember. I grew up here, but I was always hungry,” said the teenager, who like all the women and girls did not want to reveal her full name.Sex workers share common traits: poverty, abusive family members and lack of funds make them vulnerable enough to be trafficked into the camp’s sex industry. “If aid agencies can’t manage to provide people with their basic needs, the risk of trafficking grows – if we can’t establish a sustainable mechanism here and aid tires out, we could see trafficking levels rise,” said Lisa Akero, gender protection specialist at the International Federation of Red Cross and Red Crescent Societies (IFRC).SLIPPING INTO PROSTITUTIONRomida had been left hungry and malnourished and saw prostitution as the only way she could survive. “I told myself I’d do anything. I didn’t have a choice.” Her first client was a Bangladeshi friend who convinced her to have sex with him for 1,000 Taka ($12).“He paid good money,” she recalled. “The going-rate is 200 ($2.50) and my fixer takes half of it.” The business largely operates by phone calls, with pimps informing the girls where to go and who to see. On average, Romida has three male clients a week – and daren’t risk taking on more for fear of being found out. “I sometimes travel as far as Cox’s Bazar city, which is a two hour drive. Whenever I leave the camp, I have to make up excuses. I pretend to be visiting relatives or taking a shift at the market.”The Rohingya women meet men of all backgrounds – from university students to local politicians. In a brief phone conversation, Ali, a 23-year-old Bangladeshi student told the Thomson Reuters Foundation that he sleeps with prostitutes occasionally, but when he eventually marries he would expect his wife to be a virgin.Most clients don’t use condoms, the women said. “I take birth control injections, but I worry about HIV every day,” said Romida. She has never been tested for sexually transmitted diseases.SAFE SPACESHalf an hour’s drive away from the muddy, chaotic camps, surrounded by green rice paddies, local charity Pulse has set up a safe house for refugees that can host up to 30 women. Due to open in the coming days, the dormitory-style apartment is newly refurbished and has a psychologist on site.“The girls who come here might not want to talk about what is happening in their lives as they could be in danger,” said the shelter’s manager Kurshida Aktar, adding that all vulnerable women are welcome: victims of rape, single mothers and sex workers.“We’re creating an opportunity for women to rebuild their lives, access basic needs, have an outlet to talk and receive job training,” said Aktar. But the four Rohingya women who agreed to speak to the Thomson Reuters Foundation were largely unaware of such services. “We don’t ask about it for fear of being found out,” said Kamru, the youngest of the girls.As she walks outside the house, she slips into her black burqa, covering all but her eyes. “I have to take it off when I’m with my Bangladeshi clients,” she said. “But in the camp it’s my way to stay anonymous.”"
"
			Book on psychological, spiritual origins of substance addiction		",Written by AARYAMAN SHAH | ,Mumbai | ,"Dr Carl Gustav Jung, leading psychoanalyst, acknowledged the idea of the ‘faith deficit’ in the recovery of addiction. Bedi said he is taking his work forward along with Father Pereira.A BOOK aimed at shedding light on the psychological and spiritual origins of substance addiction, The Spiritual Paradox of Addiction, was launched at the Mumbai Press Club on Monday. The book is by Dr Ashok Bedi, a Jungian psychoanalyst, co-authored by Father Joseph Pereira, who started the first Alcoholics Anonymous (AA) through his parish in Mumbai and also started the Kripa Foundation that aims to help alcoholics recover.“There is no chemical solution for a chemical dependency. These individuals have a faith deficit, i.e they have a powerful spiritual drive but a faith deficit in their ego leading to addiction. One cannot be cured from an addiction but can recover by reviving faith and engaging the mind and the body,” said Father Pereira.Dr Carl Gustav Jung,Dr Carl Gustav Jung, leading psychoanalyst, acknowledged the idea of the ‘faith deficit’ in the recovery of addiction. Bedi said he is taking his work forward along with Father Pereira.“The Spiritual Paradox of Addiction is our shared understanding of this paradox and of how to untangle its mystery to rekindle the urge for recovery, sobriety and by way of bringing about a spiritual awakening in addicts and help them claim a conscious, loving connection with grace from the divine,” said Bedi. The official book release is on September 6 in Bandra."
"
			Book on psychological, spiritual origins of substance addiction		",Written by AARYAMAN SHAH | ,Mumbai | ,"Dr Carl Gustav Jung, leading psychoanalyst, acknowledged the idea of the ‘faith deficit’ in the recovery of addiction. Bedi said he is taking his work forward along with Father Pereira.A BOOK aimed at shedding light on the psychological and spiritual origins of substance addiction, The Spiritual Paradox of Addiction, was launched at the Mumbai Press Club on Monday. The book is by Dr Ashok Bedi, a Jungian psychoanalyst, co-authored by Father Joseph Pereira, who started the first Alcoholics Anonymous (AA) through his parish in Mumbai and also started the Kripa Foundation that aims to help alcoholics recover.“There is no chemical solution for a chemical dependency. These individuals have a faith deficit, i.e they have a powerful spiritual drive but a faith deficit in their ego leading to addiction. One cannot be cured from an addiction but can recover by reviving faith and engaging the mind and the body,” said Father Pereira.Dr Carl Gustav Jung,Dr Carl Gustav Jung, leading psychoanalyst, acknowledged the idea of the ‘faith deficit’ in the recovery of addiction. Bedi said he is taking his work forward along with Father Pereira.“The Spiritual Paradox of Addiction is our shared understanding of this paradox and of how to untangle its mystery to rekindle the urge for recovery, sobriety and by way of bringing about a spiritual awakening in addicts and help them claim a conscious, loving connection with grace from the divine,” said Bedi. The official book release is on September 6 in Bandra."
